request_id,reason,details
request_123,provider_error,LLM circuit breaker opened after repeated failures
request_124,provider_error,LLM circuit breaker opened after repeated failures
request_125,provider_error,LLM circuit breaker opened after repeated failures
request_126,provider_error,LLM circuit breaker opened after repeated failures
request_127,provider_error,LLM circuit breaker opened after repeated failures
request_128,provider_error,LLM circuit breaker opened after repeated failures
request_129,provider_error,LLM circuit breaker opened after repeated failures
request_130,provider_error,LLM circuit breaker opened after repeated failures
request_131,provider_error,LLM circuit breaker opened after repeated failures
request_132,provider_error,LLM circuit breaker opened after repeated failures
request_133,provider_error,LLM circuit breaker opened after repeated failures
request_134,provider_error,LLM circuit breaker opened after repeated failures
request_135,provider_error,LLM circuit breaker opened after repeated failures
request_136,provider_error,LLM circuit breaker opened after repeated failures
request_137,provider_error,LLM circuit breaker opened after repeated failures
request_138,provider_error,LLM circuit breaker opened after repeated failures
request_139,provider_error,LLM circuit breaker opened after repeated failures
request_140,provider_error,LLM circuit breaker opened after repeated failures
request_141,provider_error,LLM circuit breaker opened after repeated failures
request_142,provider_error,LLM circuit breaker opened after repeated failures
request_143,provider_error,LLM circuit breaker opened after repeated failures
request_144,provider_error,LLM circuit breaker opened after repeated failures
request_145,provider_error,LLM circuit breaker opened after repeated failures
request_146,provider_error,LLM circuit breaker opened after repeated failures
request_147,provider_error,LLM circuit breaker opened after repeated failures
request_148,provider_error,LLM circuit breaker opened after repeated failures
request_149,provider_error,LLM circuit breaker opened after repeated failures
request_150,provider_error,LLM circuit breaker opened after repeated failures
request_151,provider_error,LLM circuit breaker opened after repeated failures
request_152,provider_error,LLM circuit breaker opened after repeated failures
request_153,provider_error,LLM circuit breaker opened after repeated failures
request_154,provider_error,LLM circuit breaker opened after repeated failures
request_155,provider_error,LLM circuit breaker opened after repeated failures
request_156,provider_error,LLM circuit breaker opened after repeated failures
request_157,provider_error,LLM circuit breaker opened after repeated failures
request_158,provider_error,LLM circuit breaker opened after repeated failures
request_159,provider_error,LLM circuit breaker opened after repeated failures
request_160,provider_error,LLM circuit breaker opened after repeated failures
request_161,provider_error,LLM circuit breaker opened after repeated failures
request_162,provider_error,LLM circuit breaker opened after repeated failures
request_163,provider_error,LLM circuit breaker opened after repeated failures
request_164,provider_error,LLM circuit breaker opened after repeated failures
request_165,provider_error,LLM circuit breaker opened after repeated failures
request_166,provider_error,LLM circuit breaker opened after repeated failures
request_167,provider_error,LLM circuit breaker opened after repeated failures
request_168,provider_error,LLM circuit breaker opened after repeated failures
request_169,provider_error,LLM circuit breaker opened after repeated failures
request_170,provider_error,LLM circuit breaker opened after repeated failures
request_171,provider_error,LLM circuit breaker opened after repeated failures
request_172,provider_error,LLM circuit breaker opened after repeated failures
request_173,provider_error,LLM circuit breaker opened after repeated failures
request_174,provider_error,LLM circuit breaker opened after repeated failures
request_175,provider_error,LLM circuit breaker opened after repeated failures
request_176,provider_error,LLM circuit breaker opened after repeated failures
request_177,provider_error,LLM circuit breaker opened after repeated failures
request_178,provider_error,LLM circuit breaker opened after repeated failures
request_179,provider_error,LLM circuit breaker opened after repeated failures
request_180,provider_error,LLM circuit breaker opened after repeated failures
request_181,provider_error,LLM circuit breaker opened after repeated failures
request_182,provider_error,LLM circuit breaker opened after repeated failures
request_183,provider_error,LLM circuit breaker opened after repeated failures
request_184,provider_error,LLM circuit breaker opened after repeated failures
request_185,provider_error,LLM circuit breaker opened after repeated failures
request_186,provider_error,LLM circuit breaker opened after repeated failures
request_187,provider_error,LLM circuit breaker opened after repeated failures
request_188,provider_error,LLM circuit breaker opened after repeated failures
request_189,provider_error,LLM circuit breaker opened after repeated failures
request_190,provider_error,LLM circuit breaker opened after repeated failures
request_191,provider_error,LLM circuit breaker opened after repeated failures
request_192,provider_error,LLM circuit breaker opened after repeated failures
request_193,provider_error,LLM circuit breaker opened after repeated failures
request_194,provider_error,LLM circuit breaker opened after repeated failures
request_195,provider_error,LLM circuit breaker opened after repeated failures
request_196,provider_error,LLM circuit breaker opened after repeated failures
request_197,provider_error,LLM circuit breaker opened after repeated failures
request_198,provider_error,LLM circuit breaker opened after repeated failures
request_199,provider_error,LLM circuit breaker opened after repeated failures
request_200,provider_error,LLM circuit breaker opened after repeated failures
request_201,provider_error,LLM circuit breaker opened after repeated failures
request_202,provider_error,LLM circuit breaker opened after repeated failures
request_203,provider_error,LLM circuit breaker opened after repeated failures
request_204,provider_error,LLM circuit breaker opened after repeated failures
request_205,provider_error,LLM circuit breaker opened after repeated failures
request_206,provider_error,LLM circuit breaker opened after repeated failures
request_207,provider_error,LLM circuit breaker opened after repeated failures
request_208,provider_error,LLM circuit breaker opened after repeated failures
request_209,provider_error,LLM circuit breaker opened after repeated failures
request_210,provider_error,LLM circuit breaker opened after repeated failures
request_211,provider_error,LLM circuit breaker opened after repeated failures
request_212,provider_error,LLM circuit breaker opened after repeated failures
request_213,provider_error,LLM circuit breaker opened after repeated failures
request_214,provider_error,LLM circuit breaker opened after repeated failures
request_215,provider_error,LLM circuit breaker opened after repeated failures
request_216,provider_error,LLM circuit breaker opened after repeated failures
request_217,provider_error,LLM circuit breaker opened after repeated failures
request_218,provider_error,LLM circuit breaker opened after repeated failures
request_219,provider_error,LLM circuit breaker opened after repeated failures
request_220,provider_error,LLM circuit breaker opened after repeated failures
request_221,provider_error,LLM circuit breaker opened after repeated failures
request_222,provider_error,LLM circuit breaker opened after repeated failures
request_223,provider_error,LLM circuit breaker opened after repeated failures
request_224,provider_error,LLM circuit breaker opened after repeated failures
request_225,provider_error,LLM circuit breaker opened after repeated failures
request_226,provider_error,LLM circuit breaker opened after repeated failures
request_227,provider_error,LLM circuit breaker opened after repeated failures
request_228,provider_error,LLM circuit breaker opened after repeated failures
request_229,provider_error,LLM circuit breaker opened after repeated failures
request_230,provider_error,LLM circuit breaker opened after repeated failures
request_231,provider_error,LLM circuit breaker opened after repeated failures
request_232,provider_error,LLM circuit breaker opened after repeated failures
request_233,provider_error,LLM circuit breaker opened after repeated failures
request_234,provider_error,LLM circuit breaker opened after repeated failures
request_235,provider_error,LLM circuit breaker opened after repeated failures
request_236,provider_error,LLM circuit breaker opened after repeated failures
request_237,provider_error,LLM circuit breaker opened after repeated failures
request_238,provider_error,LLM circuit breaker opened after repeated failures
request_239,provider_error,LLM circuit breaker opened after repeated failures
request_240,provider_error,LLM circuit breaker opened after repeated failures
request_241,provider_error,LLM circuit breaker opened after repeated failures
request_242,provider_error,LLM circuit breaker opened after repeated failures
request_243,provider_error,LLM circuit breaker opened after repeated failures
request_244,provider_error,LLM circuit breaker opened after repeated failures
request_245,provider_error,LLM circuit breaker opened after repeated failures
request_246,provider_error,LLM circuit breaker opened after repeated failures
request_247,provider_error,LLM circuit breaker opened after repeated failures
request_248,provider_error,LLM circuit breaker opened after repeated failures
request_249,provider_error,LLM circuit breaker opened after repeated failures
request_250,provider_error,LLM circuit breaker opened after repeated failures
request_251,provider_error,LLM circuit breaker opened after repeated failures
request_252,provider_error,LLM circuit breaker opened after repeated failures
request_253,provider_error,LLM circuit breaker opened after repeated failures
request_254,provider_error,LLM circuit breaker opened after repeated failures
request_255,provider_error,LLM circuit breaker opened after repeated failures
request_256,provider_error,LLM circuit breaker opened after repeated failures
request_257,provider_error,LLM circuit breaker opened after repeated failures
request_258,provider_error,LLM circuit breaker opened after repeated failures
request_259,provider_error,LLM circuit breaker opened after repeated failures
request_260,provider_error,LLM circuit breaker opened after repeated failures
request_261,provider_error,LLM circuit breaker opened after repeated failures
request_262,provider_error,LLM circuit breaker opened after repeated failures
request_263,provider_error,LLM circuit breaker opened after repeated failures
request_264,provider_error,LLM circuit breaker opened after repeated failures
request_265,provider_error,LLM circuit breaker opened after repeated failures
request_266,provider_error,LLM circuit breaker opened after repeated failures
request_267,provider_error,LLM circuit breaker opened after repeated failures
request_268,provider_error,LLM circuit breaker opened after repeated failures
request_269,provider_error,LLM circuit breaker opened after repeated failures
request_270,provider_error,LLM circuit breaker opened after repeated failures
request_271,provider_error,LLM circuit breaker opened after repeated failures
request_272,provider_error,LLM circuit breaker opened after repeated failures
request_273,provider_error,LLM circuit breaker opened after repeated failures
request_274,provider_error,LLM circuit breaker opened after repeated failures
request_275,provider_error,LLM circuit breaker opened after repeated failures
